g,h
37.66008,77.33019
1.465947,14.78137
4.85712,-16.88504
-15.28865,-6.25008
-95.64304,9.43208
40.87215,-.0253247
-92.04757,7.890854
80.66066,-1.450735
-48.7125,-20.00178
8.308838,18.57843
31.65947,-62.17727
32.33004,28.23883
-40.79657,-2.443501
-69.84858,-3.772758
-190.2047,4.180404
239.7205,30.06438
-80.01373,.3835677
72.20995,11.60085
17.60771,-28.2253
-41.88267,23.84941
41.68115,-7.783049
2.110343,3.71197
-24.95142,-12.56442
-18.61291,1.459759
-9.803202,2.899579
186.9559,-6.786893
-166.3905,-13.9008
77.39452,14.13245
-419.7563,63.45032
-7.679809,3.220765
-1.53602,.9858731
-6.542161,-1.789979
-17.64698,-1.283765
6.626208,-.6499198
6.434503,2.853269
10.0604,20.80898
17.7018,4.871138
-14.10766,.6281779
-24.7651,-34.0982
9.878049,-.9107649
-8.732496,4.702738
-8.643097,-5.771966
11.41192,4.388738
1.052549,6.66182
-8.655705,10.80908
20.42382,-27.9271
-11.27573,18.3999
2.829314,4.184537
15.50748,2.32165
-6.0892,-14.67958
-34.887,17.08073
-.6603259,-40.16158
53.68934,39.78323
-14.9468,-37.63239
3.474547,56.46448
31.04342,7.164269
-11.40437,-5.41233
-20.35981,-19.06874
-19.54771,41.7534
-14.61714,-31.56654
.3137497,5.090101
-4.948061,27.50387
33.73352,-12.80107
18.63159,7.93572
14.98871,-4.960447
-20.07957,4.448676
14.15028,-6.056417
-7.170529,3.115386
-41.1236,7.385047
-16.03205,.7854497
38.77544,3.81721
3.008592,-8.016872
-37.1791,3.326764
49.28945,-.0793278
-1.025209,-1.789635
41.01509,10.62343
32.70164,2.356426
-3.028366,-14.97353
15.69216,-19.071
13.8633,24.89306
30.85492,3.358745
-17.97832,1.599083
13.83473,23.53725
10.03266,-23.65342
5.238338,5.67221
9.177503,-5.902192
2.305061,6.58986
-17.8976,-10.32328
9.880082,-2.608531
.5445612,1.327241
-7.146488,-8.420692
-3.816673,-3.2161
-1.127757,-1.026168
-2.93269,9.835387
17.36576,1.071702
-10.50225,-14.08133
-9.385849,2.921828
1.082923,1.448882
22.12459,11.92161
-27.16667,-8.024033
6.480556,-11.63323
4.803033,-8.513819
2.78817,19.48469
.4052847,-12.28386
-1.322542,9.919218
-9.817301,-5.339255
-.2595721,-7.082948
4.655655,-3.435565
-8.314156,-12.73364
12.63547,9.821954
3.274858,-12.43273
-11.27241,11.77307
-1.739454,-38.30617
-2.751122,29.08418
-2.101379,3.335511
.8219858,3.522051
83.80093,43.43574
-54.93378,94.65958
68.40527,-19.36229
-11.20645,2.721797
-26.35406,-17.26085
-2.107296,-15.3015
-5.432195,-4.68948
-11.98601,10.80244
.2473564,-9.385295
1.639524,-.8017245
37.42498,.5611004
-119.2452,9.006103
72.61813,-11.88974
-8.979551,2.804524
-20.33005,-5.5098
-4.390762,-1.125866
-24.45931,-15.04032
34.63248,4.418813
-8.102653,9.856072
-.9713255,-21.48211
4.200935,2.938745
3.891728,-3.941062
15.09274,8.398131
4.133624,27.13047
7.38318,-26.39259
2.542232,4.274292
-5.665596,-3.555265
-7.832353,-14.89672
1.383552,16.04465
-14.80933,-2.563143
15.35876,-8.549235
-9.604582,-2.047898
-2.674468,24.88519
10.32301,-18.55547
7.339447,8.317232
-2.329798,19.25237
-4.135829,-5.29101
-3.03652,-3.15788
-7.517506,-16.49147
2.30887,11.90217
.3131759,-219.8651
13.28586,220.5462
-9.761087,4.838898
-5.870276,-6.236401
-6.759634,-6.203129
-2.532017,.2381312
-1.516467,3.735117
.3035274,4.041349
-12.57422,-13.09354
4.969817,3.021118
-2.338627,15.64353
15.99808,3.686012
-6.875798,-11.4869
-14.66105,-9.699083
9.568253,-19.07796
7.473519,3.918546
8.571317,1.368328
5.89407,3.932973
93.27824,124.3972
-48.73465,-36.10645
30.06482,12.89185
38.13741,39.40903
-11.09663,19.31463
-3.346718,-7.735741
.1616567,-60.58289
-29.5471,45.95811
-77.49047,-2.262257
80.59668,-4.138008
-6.297042,1.549194
-37.79752,-1.122406
1.979181,-22.20538
46.19582,1.137784
52.32492,.347283
-72.33249,-15.66693
10.87285,-2.616685
-50.22017,9.829093
72.79552,1.76793
-43.71879,-8.537557
44.1675,10.70235
-67.71872,2.4007
62.74987,12.05999
-49.37633,6.014787
4.796259,-15.8245
7.825785,-24.15908
-4.022845,4.700493
2.987664,5.565064
5.245895,2.734677
3.808218,7.495632
23.2665,.9858731
-.8810251,22.3917
-1.084238,-3.699584
1.297079,-2.884907
7.927068,2.907534
3.161115,-13.36985
-17.57799,6.76371
2.93997,-4.784582
-10.30698,20.28834
-6.414989,-14.73872
1.803555,-4.912129
-.0253276,-.8523524
4.320893,.0773789
1.510979,1.365266
-3.707413,2.667539
90.35582,84.37616
-48.29156,-68.49842
31.50698,1.923839
